Product,Color-code,Text icon,Fixing category,Type,Base material,Base material,Base material,Base material,Base material,Base material,Approval & Certificate,Approval & Certificate,Approval & Certificate,Approval & Certificate,Specification,Specification,Specification,Info links,Info links,Info links,,
Product,Color-code,Text icon,Category,Type,Non-cracked concrete,Cracked-concrete,Plasterboard,Hollow block,ALC lighweight block,Solid brick,ETA,Approved service life,Fire resistance,Seismic C2 Approval,Working time (Max.),Curing time (Min.),Feature,Load,Video,Website,,
DuoPower,Green,All-rounder,Standard fixing,,✓,,✓,✓,✓,✓,,,,,,," - Stop guessing your wall type. -- It works in any wall. 
 - Strong fit in every base material in 3-way smart function ",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_DUOPOWER_EN_T1.pdf,https://www.youtube.com/shorts/uzNHLUPlAHA,https://www.fischer.sg/en-sg/products/standard-fixings/plastic-fixings/duopower,,
HybridPower,Yellow,New,Standard fixing,,✓,,,✓,✓,✓,,,,,,," - Hybrid 2-Component Technology (Metal & Plastic) for maximum safety.
 - Metal-anchor load capacity with the installation ease of a plastic plug.",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_HYBRIDPOWER_EN_T1.pdf,https://www.youtube.com/watch?v=VJZQIrfjTYA,https://www.fischer-international.com/en/products/standard-fixings/plastic-fixings/hybridpower,,
DuoBlade,Blue,Fast & Easy,Standard fixing,,,,✓,,,,,,,,,," - Self-drilling: Fast & easy installation in Drywall.
 - Zero power tools: Only a manual screwdriver required.",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_DUOBLADE_EN_T1.pdf,https://www.youtube.com/watch?v=llhfpNn8Ueo,https://www.fischer.sg/en-sg/products/cavity-fixings/board-fixing/plasterboard-fixing-duoblade,,
FIS EM Plus 390 S,Grey,,Chemical fixing,Epoxy mortar,✓,✓,,,,,✓,120 years,R240,✓,7 mins,5 hours," - Critical Infrastructure & Heavy Duty
 - Extreme Conditions & Water-Filled Holes
 - Seismic & High-Safety Applications
 - 2 x Static mixer FIS MR Plus included",Not shown,https://www.youtube.com/watch?v=2nieZGrHZ9w&t=8s,https://www.fischer.sg/en-sg/products/chemical-fixings/injection-mortar/epoxy-mortar-fis-em-plus,,
FIS VS Plus 360 S,Grey,,Chemical fixing,Vinyl ester,✓,✓,,✓,✓,✓,✓,100 years,R120,✓,4 mins,30 mins," - Structural Steel & Timber Support
 - Building Facades & Exterior Fixtures
 - Safety Rails & Industrial Equipment
 - 2 x Static mixer FIS MR Plus included",Not shown,https://www.youtube.com/watch?v=5wUj3OgOZAo,https://www.fischer-international.com/en/products/chemical-fixings/injection-mortar/injection-mortar-fis-v-plus/558749-fis-vs-plus-360-s,,
FIS P Plus 300 T,Grey,,Chemical fixing,Polyester,✓,,,✓,✓,✓,✓,,,,2 mins,35 min," - External Fixtures & Canopies
 - Safety Rails & Balconies
 - Gates & Security Gratings
 - 2 x Static mixer FIS MR Plus included",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_FIS-P-PLUS_EN_T1.pdf,Not shown,https://www.fischer-international.com/en/products/chemical-fixings/injection-mortar/injection-mortar-fis-p-plus,,
FIS DMS Pro,Grey,,Chemical fixing,,,,,,,,,,,,,," - Dispensor
 - Adapted for cartridges with 150 ml, 300 ml, 360 ml and 390 ml content",Not shown,Not shown,https://www.fischer-international.com/en/products/chemical-fixings/accessories/dispenser/dispenser-manual/dispenser-fis-dm-s-pro,,
FIS AM,Grey,,Chemical fixing,,,,,,,,,,,,,," - Dispensor
 - Adapted for cartridges with 150 ml, 300 ml, 360 ml and 390 ml content",Not shown,Not shown,https://www.fischer.sg/en-sg/products/chemical-fixings/accessories/dispenser/dispenser-manual/dispenser-fis-am,,
FIS MR Plus,Grey,,Chemical fixing,,,,,,,,,,,,,, - Static mixer,Not shown,Not shown,https://www.fischer.sg/en-sg/products/chemical-fixings/accessories/static-mixer,,
FBN Ⅱ,Grey,,Steel fixing,,✓,,,,,,✓,,,,,,,https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_FBN-II_EN_T1.pdf,Not shown,https://www.fischer.sg/en-sg/products/steel-fixings/bolt-anchor/bolt-anchor-fbn-ii/bolt-anchor-fbn-ii,,
FSL,Grey,,Steel fixing,,✓,,,,,,,,,,,," - Easy to insert into the drill hole thanks to undersize
 - High shear loads
 - Removable",Not shown,Not shown,https://www.fischer-international.com/en/products/steel-fixings/sleeve-anchor/sleeve-anchor-fsl/sleeve-anchor-fsl,,
FWA,Grey,,Steel fixing,,✓,,,,,,,,,,,,,https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_FWA_EN_T2.pdf,Not shown,https://www.fischer.sg/en-sg/products/steel-fixings/bolt-anchor/bolt-anchor-fwa/bolt-anchor-fwa-metric,,
HM,Blue,,Standard fixing,,,,✓,,,,,,,,,," - Due to the extensive range, the HM is suitable for board building materials with a thickness of 3-50 mm
 - Suitable for a number of different applications.",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_HM_EN_T1.pdf,Not shown,,,
Hammerfix N,Yellow,,Standard fixing,,✓,,,,✓,✓,,,,,,," - Fast Hammerset installation saves time: ideal for series installation.
 - Simple and secure installation: Integrated hammer-in stop prevents premature anchor spreading.
 - Subsequent dismantling of the nail screw with a cross-slot recess is possible.
 - With flat head for metal constructions.",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_N_EN_T1.pdf,Not shown,,,
Zinc spray FTC-ZA,N/A,,Others,,,,,,,,,,,,,," - 400 ml
 - Silver-grey colour fits perfectly with hot galvanised surfaces (similar to RAL 9006).
 - Can be painted over.
 - Heat-resistant corrosion protection until +200 °C (briefly until +300 °C).
Quick drying.
High rub resistance.",Not shown,Not shown,,,
WallHero Filler,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - The repair spatula saves the wall from ugly drill holes or cracks. The strong white of the putty makes the holes disappear and can be painted over if necessary.
 - Penetrates deep into narrow cracks and covers them perfectly. The filler can be applied precisely with the integrated putty knife.
 - The filling compound is very light and shows no shrinkage with holes up to 12 mm, which avoids ugly dents in the wall.",Not shown,https://www.youtube.com/watch?v=-CwqVdUsLrs,,,
30 second glue,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - Bonds almost all materials, is fast and does not take longer than 30 seconds to hold (not suitable for PE, PP, PTFE).
 - Due to the slower reaction time, you don't stick your fingers directly to each other if you miss a drop.
 - Extra strong adhesion, up to 130 kg/cm² (Determined by internal testing). Max. Adhesion under ideal conditions steel on steel is achieved after 24 hours).",Not shown,https://www.youtube.com/watch?v=i0vp8lmKKzM,,,
2K PowerMix Universal,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,,"
 - For an inconspicuous repair the power adhesive is transparent. This also makes it suitable for gluing glass surfaces.
 - Universally applicable in many areas of application. Fast hardening time and extremely strong hold.
 - Weatherproof because of UV and water resistance. This ensures stable adhesion indoors and outdoors.",Not shown,https://www.youtube.com/watch?v=kgd2hsJP2AE,,,
Fix4Panel,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - High initial adhesion & flexibility
 - High resilience
 - Universally applicable to a wide range of surfaces
 - Elastic & vibration damping
 - Sufficient for an area of 1 - 2 m²",Not shown,Not shown,,,
Press2fix Hook,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - No large holes through nails, plugs or screws in the wall. Simply press firmly. Attach picture. Done! And all this without tools.
 - Applicable in many substrates. Soft substrates such as wood, plaster and plaster are recommended.
 - Reusable: Remove the picture, pull the picture claw out of the wall and press it down again in another place. The solution if you want it to be quick and easy.",Not shown,Not shown,,,
Press2fix Hook Magnet,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - No large holes through nails, plugs or screws in the wall. Simply press firmly. Attach picture. Done! And all this without tools.
 - Applicable in many substrates. Soft substrates such as wood, plaster and gypsum plasterboard are recommended.
 - Reusable: Remove the picture, pull the magnetic claw out of the wall and press it down again in another place. The solution if you want it to be quick and easy.",Not shown,Not shown,,,
DoubleBond Universal,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - Weatherproof because of UV and water resistance. This ensures stable adhesion indoors and outdoors.
 - In order to be able to work quickly and efficiently, the assembly tape is easy to remove and can be torn off quickly.
 - The installation tape is transparent for unobtrusive installation. The installation is practically unobtrusive.",Not shown,Not shown,,,
Double-Bond Strips,Pink,,No-Tools-Just-Hand for DIY,,,,,,,,,,,,,," - Due to the special elasticity of the material, the stripes can be easily removed even from wallpaper without leaving any residue.
 - The MOUNTING STRIPS stick on smooth, as well as on rough underground. This makes them perfect for flexible and short-term use.
 - Very strong hold, but still detachable from the surface.",Not shown,Not shown,,,
EasyHook Loop DuoPower,Green,,Standard fixing,,✓,,✓,✓,✓,✓,,,,,,," - DuoPower comes together. 
- Quick and easy installation using a cordless screwdriver.
 - Application in different substrates.
 - Predetermined breaking point enables optimum positioning of the hook.
 - Variable distance mounting to the wall possible.
 - High load level due to the glass fibre reinforced plastic.",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_EASYHOOK_EN_T1.pdf,https://www.youtube.com/watch?v=hCLer8kjXqk,,,
EasyHook Round DuoPower,Green,,Standard fixing,,✓,,✓,✓,✓,✓,,,,,,," - DuoPower comes together.  
- Quick and easy installation using a cordless screwdriver.
 - Application in different substrates.
 - Predetermined breaking point enables optimum positioning of the hook.
 - Variable distance mounting to the wall possible.
 - High load level due to the glass fibre reinforced plastic.",https://fiproductmedia.azureedge.net/media/Load%20Tables/Load%20Tables%20fischer/LT_EASYHOOK_EN_T1.pdf,https://www.youtube.com/watch?v=hCLer8kjXqk,,,
Nail clip MNS,Orange,M&E,Standard fixing,,,,✓,,✓,,,,,,,," - Pre-assembled element saves installation time.
 - Simple assembly even with limited space. 
 - It does not contain halogens. ",Not shown,Not shown,,,
SF plus,Orange,M&E,Standard fixing,,✓,,,,,✓,,,,,,," - Saves on installation time: Combined anchor, screw, and loop.
 - One-handed installation makes overhead installations easier.
 - High retention forces due to a locking catch.
 - Flexible with various cable and pipe diameters.
 - Made of high-quality nylon.",Not shown,Not shown,,,
